STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
02320001;ST QUENTIN;3,206;49,818;98;2020/03/30;0,0;-1,9;9,2;14,2;50;9,7;50;664;2,4
02320001;ST QUENTIN;3,206;49,818;98;2020/03/31;0,0;1,1;9,9;11,7;40;7,8;60;647;2,4
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/01;0,0;-4,6;10,7;5,3;170;3,6;170;332;0,5
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/02;0,0;0,1;9,9;5,4;160;3,9;160;92;0,8
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/03;1,0;-0,8;9,9;6,5;250;4,2;160;0;0,3
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/04;0,0;2,1;8,5;8,1;20;5,1;360;177;0,3
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/05;0,0;0,7;8,1;5,8;50;4,4;40;284;0,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/06;0,0;-4,3;13,4;5,2;170;3,3;150;473;0,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/07;2,4;-1,1;8,8;5,1;170;3,7;170;10;0,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/08;0,4;7,9;11,8;6,1;180;3,5;160;5;0,5
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/09;0,0;5,2;15,0;13,6;180;5,8;200;25;1,4
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/10;0,4;5,6;9,5;10,5;220;5,0;190;19;0,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/11;0,0;3,9;7,2;4,6;160;2,7;150;0;0,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/12;0,2;-2,7;9,0;5,6;180;3,9;160;451;0,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/13;0,0;3,4;13,6;6,9;170;4,7;170;315;1,3
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/14;0,0;1,4;14,5;12,9;170;6,8;170;105;1,7
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/15;0,0;8,7;15,2;16,6;170;9,8;170;319;2,8
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/16;0,4;1,0;15,4;12,4;170;7,0;170;491;1,2
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/17;5,6;6,4;10,6;13,0;300;6,5;170;0;1,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/18;0,0;-1,9;9,6;5,2;40;3,8;40;438;0,8
